==============================================
  FCGrad Unfair Coin Game - Full Training
==============================================
Job ID: 18676655
Node: gcn2
Time limit: 15 hours
Seed: 64

Loading modules...
Activating virtual environment...

🔍 Verifying JAX GPU setup...
   JAX 0.4.30, Backend: gpu, Devices: [cuda(id=0)]

==============================================
  Running: fcgrad_unfair_coin
  Config: Full paper experiment (1B timesteps)
  Environment: Unfair Coin Game (green_coin_prob=0.9375)
  Seed: 64
==============================================

wandb: Currently logged in as: simonbruno (simonbruno-university-of-amsterdam) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ribj32m8
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/wandb/run-20260125_231231-ribj32m8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ippo_cnn_coins_seed64
wandb: ⭐️ View project at https://wandb.ai/simonbruno-university-of-amsterdam/ippo-unfair-coin-test
wandb: 🚀 View run at https://wandb.ai/simonbruno-university-of-amsterdam/ippo-unfair-coin-test/runs/ribj32m8

Starting training: 3906.0 updates, 1,000,000,000.0 timesteps

Training:   0%|          | 0/3906.0 [00:00<?, ?update/s]/home/scur0012/.venvs/fcgrad/lib/python3.12/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=int16 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:843: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  metric = jax.tree_map(lambda x: x.mean(), traj_batch.info)
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:846: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  loss_metrics = jax.tree_map(lambda x: x.mean(), loss_info)
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:868: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  metric_converted = jax.tree_map(to_native, metric)

Training:   0%|          | 1/3906.0 [01:14<80:26:24, 74.16s/update]
Training:   0%|          | 1/3906.0 [01:14<80:26:24, 74.16s/update, return=0.00, step=256000]
Training:   0%|          | 2/3906.0 [01:24<80:25:10, 74.16s/update, return=0.68, step=512000]
Training:   0%|          | 3/3906.0 [01:35<80:23:56, 74.16s/update, return=12.40, step=768000]
Training:   0%|          | 4/3906.0 [01:45<24:26:11, 22.55s/update, return=12.40, step=768000]
Training:   0%|          | 4/3906.0 [01:45<24:26:11, 22.55s/update, return=29.31, step=1024000]
Training:   0%|          | 5/3906.0 [01:56<24:25:48, 22.55s/update, return=49.19, step=1280000]
Training:   0%|          | 5/3906.0 [02:00<24:25:48, 22.55s/update, return=49.19, step=1280000]
Training:   0%|          | 6/3906.0 [02:06<24:25:26, 22.55s/update, return=62.97, step=1536000]
Training:   0%|          | 7/3906.0 [02:17<17:25:12, 16.08s/update, return=62.97, step=1536000]
Training:   0%|          | 7/3906.0 [02:17<17:25:12, 16.08s/update, return=52.71, step=1792000]
Training:   0%|          | 8/3906.0 [02:27<17:24:56, 16.08s/update, return=53.59, step=2048000]
Training:   0%|          | 8/3906.0 [02:30<17:24:56, 16.08s/update, return=53.59, step=2048000]
Training:   0%|          | 9/3906.0 [02:38<17:24:40, 16.08s/update, return=56.49, step=2.3e+6] 
Training:   0%|          | 10/3906.0 [02:48<14:47:02, 13.66s/update, return=56.49, step=2.3e+6]
Training:   0%|          | 10/3906.0 [02:48<14:47:02, 13.66s/update, return=44.20, step=2560000]
Training:   0%|          | 11/3906.0 [02:59<14:46:48, 13.66s/update, return=62.95, step=2816000]
Training:   0%|          | 11/3906.0 [03:00<14:46:48, 13.66s/update, return=62.95, step=2816000]
Training:   0%|          | 12/3906.0 [03:09<14:46:34, 13.66s/update, return=45.78, step=3072000]
Training:   0%|          | 13/3906.0 [03:20<13:27:54, 12.45s/update, return=45.78, step=3072000]
Training:   0%|          | 13/3906.0 [03:20<13:27:54, 12.45s/update, return=58.05, step=3328000]
Training:   0%|          | 14/3906.0 [03:30<13:27:41, 12.45s/update, return=50.29, step=3584000]
Training:   0%|          | 14/3906.0 [03:40<13:27:41, 12.45s/update, return=50.29, step=3584000]
Training:   0%|          | 15/3906.0 [03:41<13:27:29, 12.45s/update, return=54.83, step=3840000]
Training:   0%|          | 16/3906.0 [03:51<12:42:40, 11.76s/update, return=54.83, step=3840000]
Training:   0%|          | 16/3906.0 [03:51<12:42:40, 11.76s/update, return=49.82, step=4.1e+6] 
Training:   0%|          | 17/3906.0 [04:02<12:42:29, 11.76s/update, return=55.35, step=4352000]
Training:   0%|          | 17/3906.0 [04:10<12:42:29, 11.76s/update, return=55.35, step=4352000]
Training:   0%|          | 18/3906.0 [04:12<12:42:17, 11.76s/update, return=49.59, step=4608000]
Training:   0%|          | 19/3906.0 [04:23<12:14:45, 11.34s/update, return=49.59, step=4608000]
Training:   0%|          | 19/3906.0 [04:23<12:14:45, 11.34s/update, return=50.64, step=4864000]
Training:   1%|          | 20/3906.0 [04:33<12:14:34, 11.34s/update, return=69.10, step=5120000]
Training:   1%|          | 20/3906.0 [04:40<12:14:34, 11.34s/update, return=69.10, step=5120000]
Training:   1%|          | 21/3906.0 [04:44<12:14:22, 11.34s/update, return=54.73, step=5376000]
Training:   1%|          | 22/3906.0 [04:54<11:56:37, 11.07s/update, return=54.73, step=5376000]
Training:   1%|          | 22/3906.0 [04:54<11:56:37, 11.07s/update, return=44.31, step=5632000]
Training:   1%|          | 23/3906.0 [05:05<11:56:26, 11.07s/update, return=53.24, step=5888000]
Training:   1%|          | 23/3906.0 [05:10<11:56:26, 11.07s/update, return=53.24, step=5888000]
Training:   1%|          | 24/3906.0 [05:15<11:56:15, 11.07s/update, return=41.12, step=6144000]
Training:   1%|          | 25/3906.0 [05:26<11:44:33, 10.89s/update, return=41.12, step=6144000]
Training:   1%|          | 25/3906.0 [05:26<11:44:33, 10.89s/update, return=49.39, step=6.4e+6] 
Training:   1%|          | 26/3906.0 [05:36<11:44:22, 10.89s/update, return=66.93, step=6656000]
Training:   1%|          | 26/3906.0 [05:40<11:44:22, 10.89s/update, return=66.93, step=6656000]
Training:   1%|          | 27/3906.0 [05:47<11:44:11, 10.89s/update, return=54.98, step=6912000]
Training:   1%|          | 28/3906.0 [05:57<11:36:07, 10.77s/update, return=54.98, step=6912000]
Training:   1%|          | 28/3906.0 [05:57<11:36:07, 10.77s/update, return=46.91, step=7168000]
Training:   1%|          | 29/3906.0 [06:08<11:35:56, 10.77s/update, return=52.84, step=7424000]
Training:   1%|          | 29/3906.0 [06:10<11:35:56, 10.77s/update, return=52.84, step=7424000]
Training:   1%|          | 30/3906.0 [06:18<11:35:45, 10.77s/update, return=69.26, step=7680000]
Training:   1%|          | 31/3906.0 [06:29<11:30:12, 10.69s/update, return=69.26, step=7680000]
Training:   1%|          | 31/3906.0 [06:29<11:30:12, 10.69s/update, return=52.98, step=7936000]
Training:   1%|          | 32/3906.0 [06:39<11:30:02, 10.69s/update, return=71.51, step=8192000]
Training:   1%|          | 32/3906.0 [06:40<11:30:02, 10.69s/update, return=71.51, step=8192000]
Training:   1%|          | 33/3906.0 [06:50<11:29:51, 10.69s/update, return=61.16, step=8448000]
Training:   1%|          | 34/3906.0 [07:00<11:26:03, 10.63s/update, return=61.16, step=8448000]
Training:   1%|          | 34/3906.0 [07:00<11:26:03, 10.63s/update, return=47.04, step=8.7e+6] 
Training:   1%|          | 35/3906.0 [07:11<11:25:53, 10.63s/update, return=60.23, step=8960000]
Training:   1%|          | 35/3906.0 [07:20<11:25:53, 10.63s/update, return=60.23, step=8960000]
Training:   1%|          | 36/3906.0 [07:21<11:25:42, 10.63s/update, return=55.70, step=9216000]
Training:   1%|          | 37/3906.0 [07:32<11:23:00, 10.59s/update, return=55.70, step=9216000]
Training:   1%|          | 37/3906.0 [07:32<11:23:00, 10.59s/update, return=61.80, step=9472000]
Training:   1%|          | 38/3906.0 [07:42<11:22:49, 10.59s/update, return=56.78, step=9728000]
Training:   1%|          | 38/3906.0 [07:50<11:22:49, 10.59s/update, return=56.78, step=9728000]
Training:   1%|          | 39/3906.0 [07:53<11:22:39, 10.59s/update, return=64.07, step=9984000]
Training:   1%|          | 40/3906.0 [08:03<11:20:46, 10.57s/update, return=64.07, step=9984000]
Training:   1%|          | 40/3906.0 [08:03<11:20:46, 10.57s/update, return=51.77, step=1.02e+7]
Training:   1%|          | 41/3906.0 [08:14<11:20:36, 10.57s/update, return=72.58, step=1.05e+7]
Training:   1%|          | 41/3906.0 [08:20<11:20:36, 10.57s/update, return=72.58, step=1.05e+7]
Training:   1%|          | 42/3906.0 [08:24<11:20:25, 10.57s/update, return=56.00, step=1.08e+7]
Training:   1%|          | 43/3906.0 [08:35<11:19:03, 10.55s/update, return=56.00, step=1.08e+7]
Training:   1%|          | 43/3906.0 [08:35<11:19:03, 10.55s/update, return=78.11, step=1.1e+7] 
Training:   1%|          | 44/3906.0 [08:45<11:18:52, 10.55s/update, return=74.64, step=1.13e+7]
